WKT;id;codvia;desvia;fumetto
"POINT (664237.105787177 5103489.63931553)";"1";"1130";Piazza di Fiera;1 defibrillatore di Piazza di Fiera
"POINT (664058.65441677 5103765.078125)";"2";"240";Via R. Belenzani;2 defibrillatore di Via R. Belenzani
"POINT (664018.347602104 5104179.87929301)";"3";"880";Piazza Dante;3 defibrillatore di Piazza Dante
"POINT (664254.564583352 5103941.20083333)";"4";"230";Piazza C. Battisti;4 defibrillatore di Piazza C. Battisti
"POINT (664369.127499962 5103805.77104168)";"5";"1200";Via G. Galilei;5 defibrillatore di Via G. Galilei
"POINT (664172.940416639 5103773.15708332)";"6";"1550";Piazza Lodron;6 defibrillatore di Piazza Lodron
"POINT (664230.587500005 5103688.72510415)";"7";"3490";Piazza Alessandro Vittoria;7 defibrillatore di Piazza Alessandro Vittoria
"POINT (664253.09769589 5103277.64189263)";"10";"2950";Via Santa Croce;10 defibrillatore di Via Santa Croce
"POINT (663872.745591995 5103278.62781491)";"9";"1600";Via Card. C. Madruzzo;9 defibrillatore di Via Card. C. Madruzzo
"POINT (663880.20043491 5103837.29002116)";"8";"2990";Piazza S. Maria Maggiore;8 defibrillatore di Piazza S. Maria Maggiore
"POINT (663180.091276599 5108239.67079223)";"11";"5500";Piazza della Liberta';11 defibrillatore di Piazza della Liberta'
"POINT (664850.236209473 5110927.608431)";"12";"8546";Piazza A. Stainer;12 defibrillatore di Piazza A. Stainer
